Ano,Mes,Dia,Temperatura,Precipitacao,Dia da Semana,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,Total
2018,10,31,31.4,72.25,3,1,1,437,293,263,402,382,362
2018,10,30,28,72.75,2,1,1,293,263,402,382,203,437
2018,10,29,21,82.75,1,1,3,263,402,382,203,323,293
2018,10,26,25.4,85.5,5,3,1,402,382,203,323,49,263
2018,10,25,21.4,91,4,1,1,382,203,323,49,138,402
2018,10,24,19.5,88.75,3,1,1,203,323,49,138,188,382
2018,10,23,30.2,74.25,2,1,1,323,49,138,188,165,203
2018,10,22,28.3,70.75,1,1,3,49,138,188,165,110,323
2018,10,19,21.1,85,5,3,1,138,188,165,110,355,49
2018,10,18,29.9,86,4,1,1,188,165,110,355,387,138
2018,10,17,29.5,76,3,1,1,165,110,355,387,411,188
2018,10,16,24.9,91,2,1,1,110,355,387,411,287,165
2018,10,15,24.1,90,1,1,4,355,387,411,287,216,110
2018,10,11,20.8,90,4,4,1,387,411,287,216,440,355
2018,10,10,28.6,88,3,1,1,411,287,216,440,422,387
2018,10,9,28.3,79,2,1,1,287,216,440,422,432,411
2018,10,8,21.7,93,1,1,3,216,440,422,432,310,287
2018,10,5,18.6,89,5,3,1,440,422,432,310,238,216
2018,10,4,23,86,4,1,1,422,432,310,238,432,440
2018,10,3,31.9,82,3,1,1,432,310,238,432,407,422 
2018,10,2,30.9,81,2,1,1,310,238,432,407,424,432
2018,10,1,25.2,86,1,1,3,238,432,407,424,316,310
2018,9,28,22.2,87,5,3,1,432,407,424,316,268,238
2018,9,27,28.8,84,4,1,1,407,424,316,268,409,432
2018,9,26,32.2,66.5,3,1,1,424,316,268,409,393,407
2018,9,25,26.4,74.25,2,1,1,316,268,409,393,384,424
2018,9,24,33.5,61,1,1,3,268,409,393,384,321,316
2018,9,21,27.7,78.25,5,3,1,409,393,384,321,247,268
2018,9,20,25,79.5,4,1,1,393,384,321,247,416,409
2018,9,19,29.9,61.75,3,1,1,384,321,247,416,413,393
2018,9,18,23.9,80.75,2,1,1,321,247,416,413,432,384
2018,9,17,19.5,87.25,1,1,3,247,416,413,432,312,321
2018,9,14,19,88.5,5,3,1,416,413,432,312,417,247
2018,9,13,26.8,75.5,4,1,1,413,432,312,417,402,416
2018,9,12,23.7,73.25,3,1,1,432,312,417,402,381,413
2018,9,11,24,70.25,2,1,1,312,417,402,381,337,432
2018,9,10,25,70,1,1,4,417,402,381,337,288,312
2018,9,6,22.1,76.25,4,4,1,402,381,337,288,429,417
2018,9,5,16,78.75,3,1,1,381,337,288,429,387,402
