Data,Temperatura,Precipitação,Segunda,Terça,Quarta,Quinta,Sexta,Primavera,Verao,Outono,Inverno,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,TOTAL VENDIDO ALMOCO
19/12/2017,29.9,77.25,0,1,0,0,0,1,0,0,0,69,1,70,64,101,178,215,42
18/12/2017,29.2,74.25,1,0,0,0,0,1,0,0,0,1,3,64,101,178,215,263,70
15/12/2017,31.9,67.5,0,0,0,0,1,1,0,0,0,3,1,101,178,215,263,145,64
14/12/2017,31.6,56.5,0,0,0,1,0,1,0,0,0,1,1,178,215,263,145,295,101
13/12/2017,27.1,74.5,0,0,1,0,0,1,0,0,0,1,1,215,263,145,295,351,178
12/12/2017,21.1,80.25,0,1,0,0,0,1,0,0,0,1,1,263,145,295,351,387,215
11/12/2017,30.8,74.5,1,0,0,0,0,1,0,0,0,1,3,145,295,351,387,294,263
08/12/2017,28.2,90.75,0,0,0,0,1,1,0,0,0,3,1,295,351,387,294,194,145
07/12/2017,27.3,79.75,0,0,0,1,0,1,0,0,0,1,1,351,387,294,194,460,295
06/12/2017,29.2,74.25,0,0,1,0,0,1,0,0,0,1,1,387,294,194,460,363,351
05/12/2017,28.2,71.25,0,1,0,0,0,1,0,0,0,1,1,294,194,460,363,437,387
04/12/2017,30.7,76.25,1,0,0,0,0,1,0,0,0,1,3,194,460,363,437,314,294
01/12/2017,25.2,79,0,0,0,0,1,1,0,0,0,3,1,460,363,437,314,212,194
30/11/2017,24.3,72.75,0,0,0,1,0,1,0,0,0,1,1,363,437,314,212,396,460
29/11/2017,26.2,69,0,0,1,0,0,1,0,0,0,1,1,437,314,212,396,336,363
28/11/2017,26.4,81.75,0,1,0,0,0,1,0,0,0,1,1,314,212,396,336,427,437
27/11/2017,26.6,82,1,0,0,0,0,1,0,0,0,1,3,212,396,336,427,312,314
24/11/2017,29.4,54,0,0,0,0,1,1,0,0,0,3,1,396,336,427,312,218,212
23/11/2017,22.2,80.25,0,0,0,1,0,1,0,0,0,1,1,336,427,312,218,407,396
22/11/2017,23.5,85.5,0,0,1,0,0,1,0,0,0,1,1,427,312,218,407,428,336
21/11/2017,29.5,78.25,0,1,0,0,0,1,0,0,0,1,1,312,218,407,428,306,427
20/11/2017,21.8,86.5,1,0,0,0,0,1,0,0,0,1,3,218,407,428,306,220,312
17/11/2017,29.5,74.5,0,0,0,0,1,1,0,0,0,3,1,407,428,306,220,367,218
