--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;01/01/2017;0000;;31.7;;8.5;6.1;25.2;66;3.466667;
83781;01/01/2017;1200;0;;18.1;;;;;;
83781;02/01/2017;0000;;31.3;;5.6;6.3;23.96;83;2.9;
83781;02/01/2017;1200;16;;18.1;;;;;;
83781;03/01/2017;0000;;31.3;;7;4.5;23.1;87;3;
83781;03/01/2017;1200;3.7;;19.2;;;;;;
83781;04/01/2017;0000;;30.3;;4.2;3.5;25.14;64;2.05;
83781;04/01/2017;1200;5;;18.8;;;;;;
83781;05/01/2017;0000;;31.2;;6.1;5.6;25.9;62;1.65;
83781;05/01/2017;1200;0;;21.9;;;;;;
83781;06/01/2017;0000;;30.4;;4;5.8;25;90;1.85;
83781;06/01/2017;1200;0;;21.6;;;;;;
83781;07/01/2017;0000;;30.2;;2.3;4;23.32;;1.6;
83781;07/01/2017;1200;1.2;;18.3;;;;;;
83781;08/01/2017;0000;;30.3;;5.6;2.1;23.66;87;0.4;
83781;08/01/2017;1200;82.8;;18.4;;;;;;
83781;09/01/2017;0000;;30.4;;2.1;3.7;23.82;84;2.5;
83781;09/01/2017;1200;11;;20.9;;;;;;
83781;10/01/2017;0000;;30.6;;8;4.6;25.58;71;2.1;
83781;10/01/2017;1200;16.7;;20.3;;;;;;
83781;11/01/2017;0000;;30.1;;2.7;4.9;24.64;78.75;3;
83781;11/01/2017;1200;0;;20.9;;;;;;
83781;12/01/2017;0000;;25.7;;0.4;2.5;22.46;90;2.75;
83781;12/01/2017;1200;15.6;;19.8;;;;;;
83781;13/01/2017;0000;;28.2;;3.1;2.6;22.78;84;1.85;
83781;13/01/2017;1200;4.2;;18.3;;;;;;
83781;14/01/2017;0000;;31.9;;5.7;2.7;24.6;80;2.05;
83781;14/01/2017;1200;0;;20.2;;;;;;
83781;15/01/2017;0000;;30.7;;5;6.7;24.48;86;2.45;
83781;15/01/2017;1200;0;;20.3;;;;;;
83781;16/01/2017;0000;;29;;5.7;3.2;24;84;1.65;
83781;16/01/2017;1200;115;;18.6;;;;;;
83781;17/01/2017;0000;;24.2;;0;3.2;22.44;78;2.05;
83781;17/01/2017;1200;30.8;;18.5;;;;;;
83781;18/01/2017;0000;;24;;0;2.1;21.52;93;2.05;
83781;18/01/2017;1200;23;;18.4;;;;;;
83781;19/01/2017;0000;;25.4;;0;1;21.24;91;2.25;
83781;19/01/2017;1200;15.2;;18.8;;;;;;
83781;20/01/2017;0000;;23.8;;0.1;1.2;20.34;95;2.3;
83781;20/01/2017;1200;15.8;;17.8;;;;;;
83781;21/01/2017;0000;;22;;0;1.2;19.1;98;2.3;
83781;21/01/2017;1200;17;;16.8;;;;;;
83781;22/01/2017;0000;;21.9;;0.6;0.5;19.58;93;0;
83781;22/01/2017;1200;46.6;;16.2;;;;;;
83781;23/01/2017;0000;;25.5;;1.4;0.8;21.6;88;1.8;
83781;23/01/2017;1200;4.6;;17.6;;;;;;
83781;24/01/2017;0000;;29.5;;8;2;23.78;81;1.8;
83781;24/01/2017;1200;8;;19;;;;;;
83781;25/01/2017;0000;;28.7;;6.2;4.1;24.4;74;2.8;
83781;25/01/2017;1200;8.8;;20.3;;;;;;
83781;26/01/2017;0000;;25.1;;0.2;4.9;22.72;83;1.65;
83781;26/01/2017;1200;0;;20.9;;;;;;
83781;27/01/2017;0000;;25.5;;1.5;1.5;22.32;84;0;
83781;27/01/2017;1200;8.8;;18.1;;;;;;
83781;28/01/2017;0000;;25.6;;7;1.7;22.72;59;2.3;
83781;28/01/2017;1200;0;;18.2;;;;;;
83781;29/01/2017;0000;;32;;8.8;3.8;24.9;76;2.85;
83781;29/01/2017;1200;0;;20.3;;;;;;
83781;30/01/2017;0000;;29.3;;5.1;5.5;22.8;83;3.3;
83781;30/01/2017;1200;0;;18.6;;;;;;
83781;31/01/2017;0000;;29;;3.8;3.5;23.4;81;2.45;
83781;31/01/2017;1200;4.2;;18.7;;;;;;
83781;01/02/2017;0000;;27.6;;0.6;3.8;21.64;83.25;1.933333;
83781;01/02/2017;1200;1;;18.6;;;;;;
83781;02/02/2017;0000;;27;;4.3;2.2;23.48;73.75;2.466667;
83781;02/02/2017;1200;26.5;;18.6;;;;;;
83781;03/02/2017;0000;;29.2;;4.4;4;24.52;67.5;2.633333;
83781;03/02/2017;1200;1;;19.6;;;;;;
83781;04/02/2017;0000;;28.2;;3.8;3.5;23.24;83.75;1.6;
83781;04/02/2017;1200;4.5;;19.2;;;;;;
83781;05/02/2017;0000;;31.8;;11;3.5;25.28;69;1.633333;
83781;05/02/2017;1200;8.2;;18.8;;;;;;
83781;06/02/2017;0000;;30.8;;7.9;5;23.46;73.5;1.933333;
83781;06/02/2017;1200;0;;19.5;;;;;;
83781;07/02/2017;0000;;28.8;;7.4;3.8;23.56;74.75;3.566667;
83781;07/02/2017;1200;38.2;;18.3;;;;;;
83781;08/02/2017;0000;;28.4;;10.3;3.4;23.42;74;3.9;
83781;08/02/2017;1200;0;;19.7;;;;;;
83781;09/02/2017;0000;;27.5;;9;5;22.5;66;3.3;
83781;09/02/2017;1200;0;;18.1;;;;;;
83781;10/02/2017;0000;;29.4;;6;5.8;23.36;70.25;3.3;
83781;10/02/2017;1200;0;;18.6;;;;;;
83781;11/02/2017;0000;;31.2;;10.6;3.3;25.52;64.75;2.8;
83781;11/02/2017;1200;0;;20.4;;;;;;
83781;12/02/2017;0000;;31.1;;7.2;6;26.12;59.75;2.466667;
83781;12/02/2017;1200;0;;20.9;;;;;;
83781;13/02/2017;0000;;31.7;;11.6;5.5;26.7;58.25;3.3;
83781;13/02/2017;1200;0;;21.7;;;;;;
83781;14/02/2017;0000;;32.8;;9.7;6.5;26.34;57;2.633333;
83781;14/02/2017;1200;0;;20.7;;;;;;
83781;15/02/2017;0000;;31.8;;9;6.4;26.14;61.25;1.4;
83781;15/02/2017;1200;0;;21.3;;;;;;
83781;16/02/2017;0000;;31.7;;7.4;5.1;25.88;61.5;2.166667;
83781;16/02/2017;1200;0;;20.6;;;;;;
83781;17/02/2017;0000;;33.4;;10;5.3;26.84;51.75;1.233333;
83781;17/02/2017;1200;0;;20.3;;;;;;
83781;18/02/2017;0000;;34;;10.3;6.7;26.52;42.5;1.866667;
83781;18/02/2017;1200;0;;20.2;;;;;;
83781;19/02/2017;0000;;34.6;;9.1;7.5;27;59;1.933333;
83781;19/02/2017;1200;0;;21.8;;;;;;
83781;20/02/2017;0000;;33.5;;10.8;6.3;25.48;70.75;3.4;
83781;20/02/2017;1200;0;;20.7;;;;;;
83781;21/02/2017;0000;;31.9;;10.9;6;24.32;76.25;3.133333;
83781;21/02/2017;1200;0;;18.9;;;;;;
83781;22/02/2017;0000;;32.8;;7.5;5.5;24.92;61.5;1.066667;
83781;22/02/2017;1200;0;;19.6;;;;;;
83781;23/02/2017;0000;;33.2;;10.8;4;26.82;54.5;2.233333;
83781;23/02/2017;1200;0.5;;20.8;;;;;;
83781;24/02/2017;0000;;29.7;;5.6;7.3;23.02;74.5;1.7;
83781;24/02/2017;1200;0;;17.8;;;;;;
83781;25/02/2017;0000;;24.4;;0.7;4.2;21.54;80.75;1.833333;
83781;25/02/2017;1200;34.8;;17.8;;;;;;
83781;26/02/2017;0000;;27.6;;4.3;2.5;22.78;82.75;1.233333;
83781;26/02/2017;1200;0;;19.5;;;;;;
83781;27/02/2017;0000;;29;;6.9;2.5;23.3;72.75;2.433333;
83781;27/02/2017;1200;12.6;;19;;;;;;
83781;28/02/2017;0000;;30.2;;10.4;3.6;24.32;66;2.566667;
83781;28/02/2017;1200;0;;18.2;;;;;;
83781;01/03/2017;0000;;30.9;;10.3;6.1;26.12;63;2.766667;
83781;01/03/2017;1200;0;;20.7;;;;;;
83781;02/03/2017;0000;;28.7;;4.9;5.3;23.82;74.25;3.266667;
83781;02/03/2017;1200;0;;21.4;;;;;;
83781;03/03/2017;0000;;27.5;;1.6;4;22.68;82.5;2.066667;
83781;03/03/2017;1200;7;;19.5;;;;;;
83781;04/03/2017;0000;;29;;2.5;1.9;23.82;74;2.466667;
83781;04/03/2017;1200;5.8;;20.3;;;;;;
83781;05/03/2017;0000;;29.6;;4.4;2.5;23.16;85;2.966667;
83781;05/03/2017;1200;0;;19.8;;;;;;
83781;06/03/2017;0000;;27.4;;1.1;2.1;22.88;88.25;2.133333;
83781;06/03/2017;1200;31;;19.8;;;;;;
83781;07/03/2017;0000;;29.2;;6.4;1.5;21.92;81.5;3.066667;
83781;07/03/2017;1200;36.8;;15.6;;;;;;
83781;08/03/2017;0000;;28.2;;2.6;2.9;22.28;79.5;2.733333;
83781;08/03/2017;1200;43.6;;15.6;;;;;;
83781;09/03/2017;0000;;30.7;;9.3;2.9;24.72;72;1.633333;
83781;09/03/2017;1200;0;;18.6;;;;;;
83781;10/03/2017;0000;;31;;6.9;4.2;24.7;73.75;1.5;
83781;10/03/2017;1200;0;;20.5;;;;;;
83781;11/03/2017;0000;;30.6;;5.4;5.8;24.96;73.75;2.2;
83781;11/03/2017;1200;4.6;;20.4;;;;;;
83781;12/03/2017;0000;;31.5;;10.2;3.5;26.6;57.5;1.766667;
83781;12/03/2017;1200;0;;20.3;;;;;;
83781;13/03/2017;0000;;28.1;;0;7.6;23.22;78.5;2.733333;
83781;13/03/2017;1200;0;;20.6;;;;;;
83781;14/03/2017;0000;;25.8;;1.1;2.8;21.52;86;3.466667;
83781;14/03/2017;1200;0;;18.6;;;;;;
83781;15/03/2017;0000;;28.4;;4.6;2.3;23.36;74.5;3.033333;
83781;15/03/2017;1200;3.2;;18.8;;;;;;
83781;16/03/2017;0000;;30.2;;10.2;3.5;25.16;60.75;2.166667;
83781;16/03/2017;1200;0;;18.4;;;;;;
83781;17/03/2017;0000;;29.2;;6.1;6;23.04;83.25;2.466667;
83781;17/03/2017;1200;0;;18.8;;;;;;
83781;18/03/2017;0000;;21.9;;0;2.1;19.38;91.75;3.966667;
83781;18/03/2017;1200;18.6;;17.2;;;;;;
83781;19/03/2017;0000;;19.5;;0;1.4;18.12;88.75;2.366667;
83781;19/03/2017;1200;0.6;;15.5;;;;;;
83781;20/03/2017;0000;;24.8;;5.1;1.5;19.62;72;3.666667;
83781;20/03/2017;1200;0.2;;16.5;;;;;;
83781;21/03/2017;0000;;25.5;;7.6;3.5;19.48;75.25;3.3;
83781;21/03/2017;1200;0;;14.3;;;;;;
83781;22/03/2017;0000;;27;;10.4;3.3;20.44;74;3.6;
83781;22/03/2017;1200;0;;14.2;;;;;;
83781;23/03/2017;0000;;27.3;;7;7.5;20.86;71.25;2.466667;
83781;23/03/2017;1200;0;;14.4;;;;;;
83781;24/03/2017;0000;;28.7;;7;3.6;21.58;74;1.766667;
83781;24/03/2017;1200;0;;16;;;;;;
83781;25/03/2017;0000;;27;;5.8;3.1;21.82;74.5;1.533333;
83781;25/03/2017;1200;8;;17.9;;;;;;
83781;26/03/2017;0000;;26.3;;8.1;3.5;20.92;71.5;2.766667;
83781;26/03/2017;1200;1;;16.5;;;;;;
83781;27/03/2017;0000;;24.5;;0.2;4;20.2;76;3.033333;
83781;27/03/2017;1200;0;;16.5;;;;;;
83781;28/03/2017;0000;;26.1;;7.3;5;20.94;71.5;3.4;
83781;28/03/2017;1200;0;;16.9;;;;;;
83781;29/03/2017;0000;;24.8;;9.3;2.3;19.68;66.25;3.533333;
83781;29/03/2017;1200;0;;16;;;;;;
83781;30/03/2017;0000;;25;;7;3.6;19.28;71;2.666667;
83781;30/03/2017;1200;0;;15.3;;;;;;
83781;31/03/2017;0000;;23.2;;7.4;3.9;18.88;72;2.733333;
83781;31/03/2017;1200;0;;15.8;;;;;;
83781;01/04/2017;0000;;23.9;;7.1;3.7;18.98;75;3.766667;
83781;01/04/2017;1200;0;;16;;;;;;
83781;02/04/2017;0000;;25.2;;6.5;3.5;19.42;78.25;2.566667;
83781;02/04/2017;1200;0.6;;15.9;;;;;;
83781;03/04/2017;0000;;27.6;;9.4;3.3;20.9;78.25;1.966667;
83781;03/04/2017;1200;0;;15.9;;;;;;
83781;04/04/2017;0000;;29.7;;8.5;3.5;22.54;70.5;1.9;
83781;04/04/2017;1200;0;;17.8;;;;;;
83781;05/04/2017;0000;;30.4;;9.6;4;24.9;57.75;1.9;
83781;05/04/2017;1200;0;;18.6;;;;;;
83781;06/04/2017;0000;;26.4;;0.6;2.2;22.36;84.25;2;
83781;06/04/2017;1200;5;;19.8;;;;;;
83781;07/04/2017;0000;;22.6;;0;6.5;21.16;93.75;1.033333;
83781;07/04/2017;1200;82.1;;19.6;;;;;;
83781;08/04/2017;0000;;26.2;;3.2;1;22.48;83;2.5;
83781;08/04/2017;1200;18;;20.2;;;;;;
83781;09/04/2017;0000;;27.6;;6.3;2.3;22.62;81.25;2.866667;
83781;09/04/2017;1200;0;;19.6;;;;;;
83781;10/04/2017;0000;;28.8;;6.7;3;23.68;78.5;2.366667;
83781;10/04/2017;1200;0;;20.4;;;;;;
83781;11/04/2017;0000;;29.6;;7.9;3.1;25.2;71.5;1.9;
83781;11/04/2017;1200;4.8;;21.2;;;;;;
83781;12/04/2017;0000;;25.2;;0.6;4.4;19.88;83.5;3.366667;
83781;12/04/2017;1200;0;;17.6;;;;;;
83781;13/04/2017;0000;;20.3;;0;1.7;18.46;78.75;3.333333;
83781;13/04/2017;1200;1.7;;17.4;;;;;;
83781;14/04/2017;0000;;24.1;;1.3;2;19.56;81.5;2.366667;
83781;14/04/2017;1200;0;;16.5;;;;;;
83781;15/04/2017;0000;;27.6;;10;2.1;21.68;74.75;2.2;
83781;15/04/2017;1200;0;;17.9;;;;;;
83781;16/04/2017;0000;;29.1;;7.9;3.2;23.02;62;2.833333;
83781;16/04/2017;1200;0;;17.3;;;;;;
83781;17/04/2017;0000;;24.1;;0;5;19.74;88.25;2.2;
83781;17/04/2017;1200;0.4;;17.2;;;;;;
83781;18/04/2017;0000;;22.6;;3.9;2;18.34;72.75;3.866667;
83781;18/04/2017;1200;0;;16.4;;;;;;
83781;19/04/2017;0000;;23;;3.2;4.1;18.06;73.5;3.833333;
83781;19/04/2017;1200;0;;14.7;;;;;;
83781;20/04/2017;0000;;27.9;;8.1;4.1;21.38;69.75;2.466667;
83781;20/04/2017;1200;0;;16;;;;;;
83781;21/04/2017;0000;;24.5;;0;3.4;21.42;77;2.733333;
83781;21/04/2017;1200;0.4;;17.6;;;;;;
83781;22/04/2017;0000;;22.4;;4.8;3;17.98;82.5;2.833333;
83781;22/04/2017;1200;16.3;;15.1;;;;;;
83781;23/04/2017;0000;;21;;0.6;1.9;17.9;82.5;3.5;
83781;23/04/2017;1200;2.6;;16.1;;;;;;
83781;24/04/2017;0000;;27;;9.8;3.1;19.66;78.5;2.933333;
83781;24/04/2017;1200;0;;14.9;;;;;;
83781;25/04/2017;0000;;28.5;;9.6;2.3;22.56;69.75;2.966667;
83781;25/04/2017;1200;0;;17.4;;;;;;
83781;26/04/2017;0000;;24.2;;0.3;6.2;20.76;80.5;4.466667;
83781;26/04/2017;1200;0;;17.6;;;;;;
83781;27/04/2017;0000;;19.9;;0;2.3;16.5;91.25;1.8;
83781;27/04/2017;1200;11;;14.2;;;;;;
83781;28/04/2017;0000;;16.1;;0;2;14.3;90.5;3.033333;
83781;28/04/2017;1200;0.2;;13.6;;;;;;
83781;29/04/2017;0000;;19.1;;0;0.8;16.28;85.25;3.433333;
83781;29/04/2017;1200;0;;13.4;;;;;;
83781;30/04/2017;0000;;22.3;;5.1;1.8;18.06;79;3.033333;
83781;30/04/2017;1200;0;;15.2;;;;;;
83781;01/05/2017;0000;;23.8;;7.7;2;18.52;74;3.2;
83781;01/05/2017;1200;0;;15;;;;;;
83781;02/05/2017;0000;;23.4;;4.5;3.9;18.7;80.75;2.166667;
83781;02/05/2017;1200;0;;16.1;;;;;;
83781;03/05/2017;0000;;24.8;;7.1;2;18.78;79.5;1.866667;
83781;03/05/2017;1200;0;;15.1;;;;;;
83781;04/05/2017;0000;;25.8;;5.3;2.2;20.2;75.75;1.5;
83781;04/05/2017;1200;0;;14.8;;;;;;
83781;05/05/2017;0000;;21.8;;0.6;2.8;17.32;91.25;1.066667;
83781;05/05/2017;1200;22;;15.2;;;;;;
83781;06/05/2017;0000;;23.3;;4.1;1.1;18.46;82.75;2.4;
83781;06/05/2017;1200;13.2;;14.7;;;;;;
83781;07/05/2017;0000;;21.8;;4.5;1.7;18.46;82;3.133333;
83781;07/05/2017;1200;1;;16.5;;;;;;
83781;08/05/2017;0000;;24.5;;6.9;3.1;18.72;81;1.833333;
83781;08/05/2017;1200;0;;14.4;;;;;;
83781;09/05/2017;0000;;25.5;;8.9;6.6;19.84;64.25;1.666667;
83781;09/05/2017;1200;0;;14.6;;;;;;
83781;10/05/2017;0000;;23.4;;2.6;5.4;19.52;74.25;2.366667;
83781;10/05/2017;1200;0;;17.2;;;;;;
83781;11/05/2017;0000;;21.6;;4.1;2.6;17.6;76.75;2.566667;
83781;11/05/2017;1200;1;;16.1;;;;;;
83781;12/05/2017;0000;;24.2;;8.9;3;17.82;76.75;2.6;
83781;12/05/2017;1200;0;;13.6;;;;;;
83781;13/05/2017;0000;;27.2;;8.6;2.3;20.4;65.75;3.2;
83781;13/05/2017;1200;0;;13.8;;;;;;
83781;14/05/2017;0000;;25;;5.6;6.6;20.82;73.5;2.933333;
83781;14/05/2017;1200;0;;16.1;;;;;;
83781;15/05/2017;0000;;23.8;;7.9;4.1;18.42;73.75;2.3;
83781;15/05/2017;1200;0;;15.5;;;;;;
83781;16/05/2017;0000;;22.4;;5.7;3;17.7;73.25;3.033333;
83781;16/05/2017;1200;0;;15;;;;;;
83781;17/05/2017;0000;;20.8;;0.6;5;17.38;79;2.8;
83781;17/05/2017;1200;0;;14.9;;;;;;
83781;18/05/2017;0000;;19.1;;0;2.7;17.1;88.25;3.566667;
83781;18/05/2017;1200;0;;15.7;;;;;;
83781;19/05/2017;0000;;17.4;;0;1.5;16.5;96;1.433333;
83781;19/05/2017;1200;28.3;;15.1;;;;;;
83781;20/05/2017;0000;;22.3;;3.3;0.3;18.84;84;1.366667;
83781;20/05/2017;1200;31.3;;15.5;;;;;;
83781;21/05/2017;0000;;19.5;;0;2.1;18.2;95.75;1.5;
83781;21/05/2017;1200;0.6;;17.4;;;;;;
83781;22/05/2017;0000;;19.5;;0.1;0.6;17.82;90.5;2.833333;
83781;22/05/2017;1200;56;;17;;;;;;
83781;23/05/2017;0000;;22;;7.8;0.8;17.1;78.5;2.6;
83781;23/05/2017;1200;0;;13.4;;;;;;
83781;24/05/2017;0000;;22;;2;3.5;18.36;87.5;1.433333;
83781;24/05/2017;1200;0;;14.9;;;;;;
83781;25/05/2017;0000;;27;;6.5;1.3;20.54;79;2.466667;
83781;25/05/2017;1200;0;;15.7;;;;;;
83781;26/05/2017;0000;;28.2;;8.1;3.5;21.88;77.75;0.866667;
83781;26/05/2017;1200;0;;16.1;;;;;;
83781;27/05/2017;0000;;24.2;;1.8;3.7;20.32;81.25;2.6;
83781;27/05/2017;1200;0;;18.3;;;;;;
83781;28/05/2017;0000;;21.8;;0;2.5;19.34;88;1.5;
83781;28/05/2017;1200;0;;18.3;;;;;;
83781;29/05/2017;0000;;25.2;;6.7;2.5;19.72;74.25;1.766667;
83781;29/05/2017;1200;0;;14.9;;;;;;
83781;30/05/2017;0000;;21.1;;0;4;18.44;87.75;2.2;
83781;30/05/2017;1200;0;;16.1;;;;;;
