Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.496294
Longitude: -46.620088
Altitude: 785.64
Situacao: Operante
Data Inicial: 2017-04-12
Data Final: 2017-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(W/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2017-04-12;0000;0;926,3;1014,602565;926,3;925,9;-3,54;27;24,7;19,7;25,2;24,7;20,1;19,7;12,4;74;72;73;153;2,8;1;
2017-04-12;0100;0;926,8;1015,150229;926,8;926,2;-3,54;26;24,7;17,7;24,8;24,5;19,7;17,7;12,4;74;65;65;191;3,8;1,6;
2017-04-12;0200;0;926,8;1015,336824;926,8;926,7;-3,54;26;24,1;18;24,7;24,1;18;17,7;12,4;69;65;69;227;3,4;,4;
2017-04-12;0300;0;926,6;1015,180078;926,9;926,6;-3,534;25;23,9;18,4;24,2;23,8;18,4;17,7;12,4;72;68;72;211;7,3;3,1;
2017-04-12;0400;0;925,9;1014,694657;926,6;925,9;-3,54;25;23;18,8;23,8;23;19,1;18,5;12,4;78;72;77;173;7,3;1,8;
2017-04-12;0500;0;925,8;1014,710738;926;925,7;-3,54;24;22,6;19,1;23,1;22,6;19,1;18,8;12,3;81;77;81;170;4,8;2,4;
2017-04-12;0600;0;925,5;1014,444876;925,8;925,5;-2,435;24;22,4;19,2;22,6;22,3;19,2;19;12,3;82;81;82;178;5,3;1,6;
2017-04-12;0700;0;925,4;1014,429845;925,6;925,3;-2,837;24;22,1;18,3;22,5;22,1;19,2;18,1;12,3;82;78;79;168;7,1;3,4;
2017-04-12;0800;0;925,7;1014,885168;925,7;925,4;-2,642;24;21,7;18,8;22,1;21,7;18,8;18,3;12,3;84;79;83;169;6,8;2,2;
2017-04-12;0900;0;926,4;1015,652608;926,4;925,7;-2,765;24;21,7;18,4;21,7;21,5;18,8;18,4;12,3;83;81;82;170;7;2,7;
