,CORRELACAO,ERRO_ABSOLUTO_PERCENTUAL_MEDIO,ERRO_ABS_MEDIANO,ERRO_TOTAL_PERC_PREVISAO,ERRO_TOTAL_PREVISAO,RMSE,TOTAL_CONSUMIDAS,TOTAL_DESCARTE,TOTAL_FALTA,TOTAL_PREVISTAS,pi
RU_JANTAR_PRED,0.47671279809529504,4510989187.37504,87.5,0.0,0.0,122.13199938887955,30346.0,4496.0,-13615.0,39465.0,1.0254810102831271e-11
MLP1_predictions,0.7018368121436087,3428241849.260738,53.52044677734375,0.0,0.0,98.90299851659984,65637.0,7922.331657409668,-5264.972343444824,62979.640625,1.292763765965751e-28
MLP2_predictions,,2909935073.3795404,145.28598022460938,0.0,0.0,162.9703777884231,65637.0,21313.60919189453,-4935.988830566406,49259.3828125,
pred_RNN_ENDO_1_val,0.6888838329251228,3718763474.2546616,58.68548583984375,0.0,0.0,99.78152824489423,65637.0,7676.578125,-6051.289649963379,64011.7109375,3.1486238795552602e-27
pred_RNN_ENDO_2_val,0.6801863539984112,4283705036.4978867,58.06816101074219,0.0,0.0,100.80687158132888,65637.0,7981.52596282959,-5833.3621826171875,63488.8359375,2.4498211422549446e-26
pred_MLP_ENDO_1_val,0.7545152551191718,3423025576.685291,41.591339111328125,0.0,0.0,89.76360971757721,65637.0,6059.447452545166,-5202.202785491943,64779.75390625,4.003157619094932e-35
pred_RNN_EXO_1_val,0.782137837768793,3721651521.6898127,49.29559326171875,0.0,0.0,85.63825128784356,65637.0,5884.05256652832,-5666.274814605713,65419.2265625,3.067193563005733e-39
pred_RNN_EXO_2_val,0.7000667747080507,3848213234.0780163,65.46148681640625,0.0,0.0,98.59371202227292,65637.0,7077.775009155273,-7305.889366149902,65865.109375,2.0201644651166165e-28
pred_RNN_EXO_3_val,0.7000667747080507,3848213234.0780163,65.46148681640625,0.0,0.0,98.59371202227292,65637.0,7077.775009155273,-7305.889366149902,65865.109375,2.0201644651166165e-28
pred_RNN_ENDO_1_NEW_val,0.6888838329251228,3718763474.2546616,58.68548583984375,0.0,0.0,99.78152824489423,65637.0,7676.578125,-6051.289649963379,64011.7109375,3.1486238795552602e-27
pred_RNN_EXO_1_NEW_val,0.5218699737642778,3761326705.6338296,76.30241394042969,0.0,0.0,120.17416974256271,65637.0,11554.141799926758,-6148.763069152832,60231.62109375,3.0387534088083255e-14
pred_RNN_ENDO_1_NEW_test,0.6377489726275397,106.17377043426286,50.561546325683594,0.0,0.0,106.50977502738827,58653.0,4484.609394073486,-8836.250429153442,63004.640625,3.6204535196757384e-22
pred_RNN_ENDO_1_test,0.6351548903938133,107.879362802119,58.424896240234375,0.0,0.0,101.18177232241452,58653.0,5949.769081115723,-7708.834205627441,60412.0625,5.99002688485389e-22
model_rnn_unique_1,0.6351548903938133,107.879362802119,58.424896240234375,0.0,0.0,101.18177232241452,58653.0,5949.769081115723,-7708.834205627441,60412.0625,5.99002688485389e-22
pred_RNN_ENDO_2_test,0.6271911123524763,101.28461523309866,55.77995300292969,0.0,0.0,105.32840580346473,58653.0,5133.199876785278,-8335.338161468506,61855.140625,2.7285294600350273e-21
pred_MLP_ENDO_1_test,0.6599238349996192,98.55163890179827,53.880401611328125,0.0,0.0,101.15156037077867,58653.0,5711.684642791748,-7096.577299118042,60037.89453125,3.989866066114077e-24
pred_RNN_EXO_1_test,0.6714298055859153,224.9068958473277,55.23553466796875,0.0,0.0,99.36509371895045,58653.0,4768.1401653289795,-8163.18741607666,62048.046875,3.298430163867727e-25
pred_RNN_EXO_2_test,0.5948978119781834,230.94241029507253,64.68639373779297,0.0,0.0,107.84935171047965,58653.0,5169.778854370117,-9677.236465454102,63160.45703125,8.351710291140241e-19
pred_RNN_EXO_3_test,0.441937542148059,236.56705170862548,85.18669128417969,0.0,0.0,117.03167461256312,58653.0,8913.193801879883,-8608.394020080566,58348.1953125,4.223168917552314e-10
