"DATA","VENDAS CAFÉ","VENDAS ALMOÇO","VENDAS JANTAR","VENDAS REFEIÇÃO*","TOTAL VENDAS","ENTR. CAFÉ","ENTR. ALMOÇO","ENTR. JANTAR","TOTAL ENTR. REFEIÇÃO*","TOTAL ENTRADA","HORA","PRECIPITACAO_TOTAL,HORARIO_(mm)","PRESSAO_ATMOSFERICA_AO_NIVEL_DA_ESTACAO,_HORARIA_(mB)","PRESSAO_ATMOSFERICA_MAXNA_HORA_ANT_(AUT)_(mB)","PRESSAO_ATMOSFERICA_MIN_NA_HORA_ANT_(AUT)_(mB)","RADIACAO_GLOBAL_(W/m2)","TEMPERATURA_DO_AR_-_BULBO_SECO,_HORARIA_(C)","TEMPERATURA_DO_PONTO_DE_ORVALHO_(C)","TEMPERATURA_MAXIMA_NA_HORA_ANT_(AUT)_(C)","TEMPERATURA_MINIMA_NA_HORA_ANT_(AUT)_(C)","TEMPERATURA_ORVALHO_MAX_NA_HORA_ANT_(AUT)_(C)","TEMPERATURA_ORVALHO_MIN_NA_HORA_ANT_(AUT)_(C)","UMIDADE_REL_MAX_NA_HORA_ANT_(AUT)_(%)","UMIDADE_REL_MIN_NA_HORA_ANT_(AUT)_(%)","UMIDADE_RELATIVA_DO_AR,_HORARIA_(%)","VENTO,_DIREÇÃO_HORARIA_(gr)_(_(gr))","VENTO,_RAJADA_MAXIMA_(m/s)","VENTO,_VELOCIDADE_HORARIA_(m/s)"
2017-04-12,0,14,0,14,14,0,14,0,14,14,"12:00",0,950.7,951,950.4,401.1,22,19.2,22.1,21.1,19.7,19.1,91,84,84,25,2.8,0.9
2017-04-13,0,22,0,22,22,0,22,0,22,22,"12:00",0,953.3,953.3,952.8,1196,21,16.5,21.4,19.5,17.4,16.2,85,74,75,141,4.6,2.2
2017-04-17,0,10,0,10,10,0,10,0,10,10,"12:00",0,950.4,950.5,950.1,793.3,22.3,18.5,22.3,19.8,18.6,17.9,89,79,79,281,2,0.3
2017-04-18,0,27,0,27,27,0,26,0,26,26,"12:00",0,953.9,953.9,953.2,542.7,19.3,15.1,19.3,18.2,15.5,13.8,79,74,77,174,2.9,1.2
2017-04-19,0,18,0,18,18,0,17,0,17,17,"12:00",0,954.5,954.6,954.2,906,18.4,13.9,18.5,17.4,14.1,13.1,77,74,75,160,3.2,2.1
2017-04-20,0,14,0,14,14,0,14,0,14,14,"12:00",0,951.7,951.8,951.6,1310.6,20.5,15.6,20.8,18.7,16.1,15.3,82,73,73,41,8.2,4.9
2017-04-24,0,10,0,10,10,0,10,0,10,10,"12:00",0,954.3,954.3,954.2,1493.4,19.9,14.6,20.4,16.7,14.9,12.5,76,69,71,40,5.9,3.3
2017-04-25,0,26,0,26,26,0,26,0,26,26,"12:00",0,950.5,950.5,949.8,572.7,20.1,16.5,20.1,18.1,16.9,15.7,87,78,80,26,6,3.4
2017-04-26,0,17,0,17,17,0,17,0,17,17,"12:00",0,946.4,946.4,946.1,1272.4,24.1,18.3,24.1,20.2,18.8,17.5,85,70,70,95,3.8,2
2017-04-27,0,15,0,15,15,0,15,0,15,15,"12:00",0,950.9,950.9,949.9,222.5,20.1,17.9,20.1,19.6,18.4,17.9,91,87,87,215,5.6,3.6
2017-05-02,0,15,0,15,15,0,15,0,15,15,"12:00",0,954.8,955,954.7,901.3,18.4,14.7,18.5,16.6,15.2,14.4,88,79,79,114,3.1,1.7
2017-05-03,0,9,0,9,9,0,9,0,9,9,"12:00",0,956,956,955.6,1160.5,17.5,14.6,17.5,15.3,14.8,13.5,91,83,83,163,2.2,1
2017-05-04,0,41,0,41,41,0,41,0,41,41,"12:00",0,953.4,953.4,952.8,1413.8,19,15.6,19,16.9,15.9,14.6,87,80,81,38,3.4,1.8
2017-05-05,0,84,134,218,218,0,84,134,218,218,"12:00",4.2,953.2,953.4,952.3,92.5,18.1,17,18.2,17.9,17.1,16.8,94,94,94,22,1.8,0.8
2017-05-08,0,14,0,14,14,0,14,0,14,14,"12:00",0,950.6,950.6,950.2,572.3,17.7,14.9,17.7,15.8,15,13.9,89,83,84,139,2.5,0.7
