--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;01/01/2017;0000;31.7;66;
83781;02/01/2017;0000;31.3;83;
83781;03/01/2017;0000;31.3;87;
83781;04/01/2017;0000;30.3;64;
83781;05/01/2017;0000;31.2;62;
83781;06/01/2017;0000;30.4;90;
83781;07/01/2017;0000;30.2;;
83781;08/01/2017;0000;30.3;87;
83781;09/01/2017;0000;30.4;84;
83781;10/01/2017;0000;30.6;71;
83781;11/01/2017;0000;30.1;78.75;
83781;12/01/2017;0000;25.7;90;
83781;13/01/2017;0000;28.2;84;
83781;14/01/2017;0000;31.9;80;
83781;15/01/2017;0000;30.7;86;
83781;16/01/2017;0000;29;84;
83781;17/01/2017;0000;24.2;78;
83781;18/01/2017;0000;24;93;
83781;19/01/2017;0000;25.4;91;
83781;20/01/2017;0000;23.8;95;
83781;21/01/2017;0000;22;98;
83781;22/01/2017;0000;21.9;93;
83781;23/01/2017;0000;25.5;88;
83781;24/01/2017;0000;29.5;81;
83781;25/01/2017;0000;28.7;74;
83781;26/01/2017;0000;25.1;83;
83781;27/01/2017;0000;25.5;84;
83781;28/01/2017;0000;25.6;59;
83781;29/01/2017;0000;32;76;
83781;30/01/2017;0000;29.3;83;
83781;31/01/2017;0000;29;81;
83781;01/02/2017;0000;27.6;83.25;
83781;02/02/2017;0000;27;73.75;
83781;03/02/2017;0000;29.2;67.5;
83781;04/02/2017;0000;28.2;83.75;
83781;05/02/2017;0000;31.8;69;
83781;06/02/2017;0000;30.8;73.5;
83781;07/02/2017;0000;28.8;74.75;
83781;08/02/2017;0000;28.4;74;
83781;09/02/2017;0000;27.5;66;
83781;10/02/2017;0000;29.4;70.25;
83781;11/02/2017;0000;31.2;64.75;
83781;12/02/2017;0000;31.1;59.75;
83781;13/02/2017;0000;31.7;58.25;
83781;14/02/2017;0000;32.8;57;
83781;15/02/2017;0000;31.8;61.25;
83781;16/02/2017;0000;31.7;61.5;
83781;17/02/2017;0000;33.4;51.75;
83781;18/02/2017;0000;34;42.5;
83781;19/02/2017;0000;34.6;59;
83781;20/02/2017;0000;33.5;70.75;
83781;21/02/2017;0000;31.9;76.25;
83781;22/02/2017;0000;32.8;61.5;
83781;23/02/2017;0000;33.2;54.5;
83781;24/02/2017;0000;29.7;74.5;
83781;25/02/2017;0000;24.4;80.75;
83781;26/02/2017;0000;27.6;82.75;
83781;27/02/2017;0000;29;72.75;
83781;28/02/2017;0000;30.2;66;
83781;01/03/2017;0000;30.9;63;
83781;02/03/2017;0000;28.7;74.25;
83781;03/03/2017;0000;27.5;82.5;
83781;04/03/2017;0000;29;74;
83781;05/03/2017;0000;29.6;85;
83781;06/03/2017;0000;27.4;88.25;
83781;07/03/2017;0000;29.2;81.5;
83781;08/03/2017;0000;28.2;79.5;
83781;09/03/2017;0000;30.7;72;
83781;10/03/2017;0000;31;73.75;
83781;11/03/2017;0000;30.6;73.75;
83781;12/03/2017;0000;31.5;57.5;
83781;13/03/2017;0000;28.1;78.5;
83781;14/03/2017;0000;25.8;86;
83781;15/03/2017;0000;28.4;74.5;
83781;16/03/2017;0000;30.2;60.75;
83781;17/03/2017;0000;29.2;83.25;
83781;18/03/2017;0000;21.9;91.75;
83781;19/03/2017;0000;19.5;88.75;
83781;20/03/2017;0000;24.8;72;
83781;21/03/2017;0000;25.5;75.25;
83781;22/03/2017;0000;27;74;
83781;23/03/2017;0000;27.3;71.25;
83781;24/03/2017;0000;28.7;74;
83781;25/03/2017;0000;27;74.5;
83781;26/03/2017;0000;26.3;71.5;
83781;27/03/2017;0000;24.5;76;
83781;28/03/2017;0000;26.1;71.5;
83781;29/03/2017;0000;24.8;66.25;
83781;30/03/2017;0000;25;71;
83781;31/03/2017;0000;23.2;72;
83781;01/04/2017;0000;23.9;75;
83781;02/04/2017;0000;25.2;78.25;
83781;03/04/2017;0000;27.6;78.25;
83781;04/04/2017;0000;29.7;70.5;
83781;05/04/2017;0000;30.4;57.75;
83781;06/04/2017;0000;26.4;84.25;
83781;07/04/2017;0000;22.6;93.75;
83781;08/04/2017;0000;26.2;83;
83781;09/04/2017;0000;27.6;81.25;
83781;10/04/2017;0000;28.8;78.5;
83781;11/04/2017;0000;29.6;71.5;
83781;12/04/2017;0000;25.2;83.5;
83781;13/04/2017;0000;20.3;78.75;
83781;14/04/2017;0000;24.1;81.5;
83781;15/04/2017;0000;27.6;74.75;
83781;16/04/2017;0000;29.1;62;
83781;17/04/2017;0000;24.1;88.25;
83781;18/04/2017;0000;22.6;72.75;
83781;19/04/2017;0000;23;73.5;
83781;20/04/2017;0000;27.9;69.75;
83781;21/04/2017;0000;24.5;77;
83781;22/04/2017;0000;22.4;82.5;
83781;23/04/2017;0000;21;82.5;
83781;24/04/2017;0000;27;78.5;
83781;25/04/2017;0000;28.5;69.75;
83781;26/04/2017;0000;24.2;80.5;
83781;27/04/2017;0000;19.9;91.25;
83781;28/04/2017;0000;16.1;90.5;
83781;29/04/2017;0000;19.1;85.25;
83781;30/04/2017;0000;22.3;79;
83781;01/05/2017;0000;23.8;74;
83781;02/05/2017;0000;23.4;80.75;
83781;03/05/2017;0000;24.8;79.5;
83781;04/05/2017;0000;25.8;75.75;
83781;05/05/2017;0000;21.8;91.25;
83781;06/05/2017;0000;23.3;82.75;
83781;07/05/2017;0000;21.8;82;
83781;08/05/2017;0000;24.5;81;
83781;09/05/2017;0000;25.5;64.25;
83781;10/05/2017;0000;23.4;74.25;
83781;11/05/2017;0000;21.6;76.75;
83781;12/05/2017;0000;24.2;76.75;
83781;13/05/2017;0000;27.2;65.75;
83781;14/05/2017;0000;25;73.5;
83781;15/05/2017;0000;23.8;73.75;
83781;16/05/2017;0000;22.4;73.25;
83781;17/05/2017;0000;20.8;79;
83781;18/05/2017;0000;19.1;88.25;
83781;19/05/2017;0000;17.4;96;
83781;20/05/2017;0000;22.3;84;
83781;21/05/2017;0000;19.5;95.75;
83781;22/05/2017;0000;19.5;90.5;
83781;23/05/2017;0000;22;78.5;
83781;24/05/2017;0000;22;87.5;
83781;25/05/2017;0000;27;79;
83781;26/05/2017;0000;28.2;77.75;
83781;27/05/2017;0000;24.2;81.25;
83781;28/05/2017;0000;21.8;88;
83781;29/05/2017;0000;25.2;74.25;
83781;30/05/2017;0000;21.1;87.75;
83781;31/05/2017;0000;25;66.75;
83781;01/06/2017;0000;20.7;80.25;
83781;02/06/2017;0000;21.2;71.25;
83781;03/06/2017;0000;24;78.5;
83781;04/06/2017;0000;28.2;72.5;
83781;05/06/2017;0000;22.4;91.5;
83781;06/06/2017;0000;22.8;91.5;
83781;07/06/2017;0000;27.2;84.5;
83781;08/06/2017;0000;27.4;57.5;
83781;09/06/2017;0000;23.2;68.5;
