Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;31/07/2018;0000;18.4;82.25;
83781;01/08/2018;0000;14.5;86.75;
83781;02/08/2018;0000;17.1;89.75;
83781;03/08/2018;0000;16.2;92.5;
83781;04/08/2018;0000;20.4;75;
83781;05/08/2018;0000;19.8;78.5;
83781;06/08/2018;0000;15.1;89.75;
83781;07/08/2018;0000;17.8;84.5;
83781;08/08/2018;0000;26;67.75;
83781;09/08/2018;0000;24.6;68.25;
83781;10/08/2018;0000;20.7;48;
83781;11/08/2018;0000;22.8;55.5;
83781;12/08/2018;0000;19.2;72.75;
83781;13/08/2018;0000;21.4;80.5;
83781;14/08/2018;0000;27.9;70.75;
83781;15/08/2018;0000;17.8;84;
83781;16/08/2018;0000;17.3;86.25;
83781;17/08/2018;0000;17.4;83.75;
83781;18/08/2018;0000;22.2;75.25;
83781;19/08/2018;0000;26.7;65.5;
83781;20/08/2018;0000;27.8;47.25;
83781;21/08/2018;0000;28.8;64.75;
83781;22/08/2018;0000;26.5;64.75;
83781;23/08/2018;0000;27.7;56;
83781;24/08/2018;0000;29.7;50.25;
83781;25/08/2018;0000;22.4;81.75;
83781;26/08/2018;0000;16.8;87;
83781;27/08/2018;0000;16.8;82.25;
83781;28/08/2018;0000;24.8;77.5;
83781;29/08/2018;0000;25.7;61.5;
83781;30/08/2018;0000;29.2;47.5;
83781;31/08/2018;0000;29.8;45.5;
83781;01/09/2018;0000;31.8;58;
83781;02/09/2018;0000;31.4;64.5;
83781;03/09/2018;0000;26;80.5;
83781;04/09/2018;0000;17.2;81.5;
83781;05/09/2018;0000;16;78.75;
83781;06/09/2018;0000;22.1;76.25;
83781;07/09/2018;0000;27.2;68.25;
83781;08/09/2018;0000;26.4;74.5;
83781;09/09/2018;0000;24.5;73.5;
83781;10/09/2018;0000;25;70;
83781;11/09/2018;0000;24;70.25;
83781;12/09/2018;0000;23.7;73.25;
83781;13/09/2018;0000;26.8;75.5;
83781;14/09/2018;0000;19;88.5;
83781;15/09/2018;0000;23.4;79.75;
83781;16/09/2018;0000;23;71.75;
83781;17/09/2018;0000;19.5;87.25;
83781;18/09/2018;0000;23.9;80.75;
83781;19/09/2018;0000;29.9;61.75;
83781;20/09/2018;0000;25;79.5;
83781;21/09/2018;0000;27.7;78.25;
83781;22/09/2018;0000;28.8;63.75;
83781;23/09/2018;0000;32.4;46.75;
83781;24/09/2018;0000;33.5;61;
83781;25/09/2018;0000;26.4;74.25;
83781;26/09/2018;0000;32.2;66.5;
83781;27/09/2018;0000;28.8;84;
83781;28/09/2018;0000;22.2;87;
83781;29/09/2018;0000;28.2;78.25;
83781;30/09/2018;0000;28.9;81.5;
83781;01/10/2018;0000;25.2;86;
83781;02/10/2018;0000;30.9;81;
83781;03/10/2018;0000;31.9;82;
83781;04/10/2018;0000;23;86;
83781;05/10/2018;0000;18.6;89;
83781;06/10/2018;0000;17.8;82;
83781;07/10/2018;0000;19.4;91;
83781;08/10/2018;0000;21.7;93;
83781;09/10/2018;0000;28.3;79;
83781;10/10/2018;0000;28.6;88;
83781;11/10/2018;0000;20.8;90;
83781;12/10/2018;0000;27.3;87;
83781;13/10/2018;0000;30.4;85;
83781;14/10/2018;0000;20.6;86;
83781;15/10/2018;0000;24.1;90;
83781;16/10/2018;0000;24.9;91;
83781;17/10/2018;0000;29.5;76;
83781;18/10/2018;0000;29.9;86;
83781;19/10/2018;0000;21.1;85;
83781;20/10/2018;0000;21.9;66;
83781;21/10/2018;0000;22;70;
83781;22/10/2018;0000;28.3;70.75;
83781;23/10/2018;0000;30.2;74.25;
83781;24/10/2018;0000;19.5;88.75;
83781;25/10/2018;0000;21.4;91;
83781;26/10/2018;0000;25.4;85.5;
83781;27/10/2018;0000;25.6;85;
83781;28/10/2018;0000;19.5;86.75;
83781;29/10/2018;0000;21;82.75;
83781;30/10/2018;0000;28;72.75;
83781;31/10/2018;0000;31.4;72.25;
