DATA,SEMESTRE_1,SEMESTRE_2,SEGUNDA,TERCA,QUARTA,QUINTA,SEXTA,DISTANCIA_DIA_ANTERIOR,DISTANCIA_DIA_POSTERIOR,PERC_CONCLUSAO_SEM,PERC_CONCLUSAO_MES,PRESSAO_ATMOSFERICA,TEMPERATURA,UMIDADE,VENTO,VENDAS_ALMOCO_1,VENDAS_ALMOCO_2,VENDAS_ALMOCO_3,VENDAS_ALMOCO_4,VENDAS_ALMOCO_5,ENTR_ALMOCO_1,ENTR_ALMOCO_2,ENTR_ALMOCO_3,ENTR_ALMOCO_4,ENTR_ALMOCO_5,ENTR_JANTAR_1,ENTR_JANTAR_2,ENTR_JANTAR_3,ENTR_JANTAR_4,ENTR_JANTAR_5,ENTR_JANTAR,ENTR_ALMOCO
12/04/2017,1,0,0,0,1,0,0,1,1,35.97,40,950.7,22,84,0.9,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,14
13/04/2017,1,0,0,0,0,1,0,1,4,36.69,43.33,953.3,21,75,2.2,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,22
17/04/2017,1,0,1,0,0,0,0,4,1,39.57,56.67,950.4,22.3,79,0.3,22,14,14,14,14,22,14,14,14,14,0,0,0,0,0,0,10
18/04/2017,1,0,0,1,0,0,0,1,1,40.29,60,953.9,19.3,77,1.2,10,22,14,14,14,10,22,14,14,14,0,0,0,0,0,0,26
19/04/2017,1,0,0,0,1,0,0,1,1,41.01,63.33,954.5,18.4,75,2.1,27,10,22,14,14,26,10,22,14,14,0,0,0,0,0,0,17
20/04/2017,1,0,0,0,0,1,0,1,4,41.73,66.67,951.7,20.5,73,4.9,18,27,10,22,14,17,26,10,22,14,0,0,0,0,0,0,14
24/04/2017,1,0,1,0,0,0,0,4,1,44.6,80,954.3,19.9,71,3.3,14,18,27,10,22,14,17,26,10,22,0,0,0,0,0,0,10
25/04/2017,1,0,0,1,0,0,0,1,1,45.32,83.33,950.5,20.1,80,3.4,10,14,18,27,10,10,14,17,26,10,0,0,0,0,0,0,26
26/04/2017,1,0,0,0,1,0,0,1,1,46.04,86.67,946.4,24.1,70,2,26,10,14,18,27,26,10,14,17,26,0,0,0,0,0,0,17
27/04/2017,1,0,0,0,0,1,0,1,5,46.76,90,950.9,20.1,87,3.6,17,26,10,14,18,17,26,10,14,17,0,0,0,0,0,0,15
