DATA;SEMESTRE;DIA_SEMANA;DISTANCIA_DIA_ANTERIOR;DISTANCIA_DIA_POSTERIOR;PERC_CONCLUSAO_SEM;PERC_CONCLUSAO_MES;VENDAS_ALMOCO;VENDAS_ALMOCO_1;VENDAS_ALMOCO_2;VENDAS_ALMOCO_3;VENDAS_ALMOCO_4;VENDAS_ALMOCO_5;ENTR_ALMOCO;ENTR_ALMOCO_1;ENTR_ALMOCO_2;ENTR_ALMOCO_3;ENTR_ALMOCO_4;ENTR_ALMOCO_5;ENTR_JANTAR;ENTR_JANTAR_1;ENTR_JANTAR_2;ENTR_JANTAR_3;ENTR_JANTAR_4;ENTR_JANTAR_5;PRESSAO_ATMOSFERICA;TEMPERATURA;UMIDADE;VENTO
12/04/2017;1;3;1;1;35,97;40,00;14;14;14;14;14;14;14;14;14;14;14;14;0;0;0;0;0;0;950.7;22;84;0.9
13/04/2017;1;4;1;4;36,69;43,33;22;14;14;14;14;14;22;14;14;14;14;14;0;0;0;0;0;0;953.3;21;75;2.2
17/04/2017;1;1;4;1;39,57;56,67;10;22;14;14;14;14;10;22;14;14;14;14;0;0;0;0;0;0;950.4;22.3;79;0.3
18/04/2017;1;2;1;1;40,29;60,00;27;10;22;14;14;14;26;10;22;14;14;14;0;0;0;0;0;0;953.9;19.3;77;1.2
19/04/2017;1;3;1;1;41,01;63,33;18;27;10;22;14;14;17;26;10;22;14;14;0;0;0;0;0;0;954.5;18.4;75;2.1
20/04/2017;1;4;1;4;41,73;66,67;14;18;27;10;22;14;14;17;26;10;22;14;0;0;0;0;0;0;951.7;20.5;73;4.9
24/04/2017;1;1;4;1;44,60;80,00;10;14;18;27;10;22;10;14;17;26;10;22;0;0;0;0;0;0;954.3;19.9;71;3.3
25/04/2017;1;2;1;1;45,32;83,33;26;10;14;18;27;10;26;10;14;17;26;10;0;0;0;0;0;0;950.5;20.1;80;3.4
26/04/2017;1;3;1;1;46,04;86,67;17;26;10;14;18;27;17;26;10;14;17;26;0;0;0;0;0;0;946.4;24.1;70;2
27/04/2017;1;4;1;5;46,76;90,00;15;17;26;10;14;18;15;17;26;10;14;17;0;0;0;0;0;0;950.9;20.1;87;3.6
02/05/2017;1;2;5;1;50,36;6,45;15;15;17;26;10;14;15;15;17;26;10;14;0;0;0;0;0;0;954.8;18.4;79;1.7
03/05/2017;1;3;1;1;51,08;9,68;9;15;15;17;26;10;9;15;15;17;26;10;0;0;0;0;0;0;956;17.5;83;1
04/05/2017;1;4;1;1;51,80;12,90;41;9;15;15;17;26;41;9;15;15;17;26;0;0;0;0;0;0;953.4;19;81;1.8
05/05/2017;1;5;1;3;52,52;16,13;84;41;9;15;15;17;84;41;9;15;15;17;134;0;0;0;0;0;953.2;18.1;94;0.8
08/05/2017;1;1;3;1;54,68;25,81;14;84;41;9;15;15;14;84;41;9;15;15;0;134;0;0;0;0;950.6;17.7;84;0.7
09/05/2017;1;2;1;1;55,40;29,03;23;14;84;41;9;15;23;14;84;41;9;15;0;0;134;0;0;0;949.8;20;79;2.8
10/05/2017;1;3;1;1;56,12;32,26;162;23;14;84;41;9;162;23;14;84;41;9;0;0;0;134;0;0;953.5;19;79;1.2
11/05/2017;1;4;1;1;56,83;35,48;28;162;23;14;84;41;28;162;23;14;84;41;0;0;0;0;134;0;953.8;19.9;74;1.2
