DATA;VENDAS CAFÉ;VENDAS ALMOÇO;VENDAS JANTAR;VENDAS REFEIÇÃO*;TOTAL VENDAS;ENTR. CAFÉ;ENTR. ALMOÇO;ENTR. JANTAR;TOTAL ENTR. REFEIÇÃO*;TOTAL ENTRADA
(19/12/2017);0;24;0;24;24;0;42;3;45;45
(18/12/2017);0;71;0;71;71;0;70;24;94;94
(15/12/2017);0;52;0;52;52;0;64;17;81;81
(14/12/2017);0;102;0;102;102;0;101;52;153;153
(13/12/2017);0;147;0;147;147;0;178;53;231;231
(12/12/2017);0;170;0;170;170;0;215;78;293;293
(11/12/2017);0;371;0;371;371;0;263;126;389;389
(08/12/2017);0;117;0;117;117;0;145;45;190;190
(07/12/2017);0;286;0;286;286;0;295;163;458;458
(06/12/2017);0;378;0;378;378;0;351;188;539;539
(05/12/2017);0;467;0;467;467;0;387;162;549;549
(04/12/2017);0;636;0;636;636;0;294;170;464;464
(01/12/2017);0;185;0;185;185;0;194;56;250;250
